,juyou,-1,change_rate,mean,volume_sum,volume_mean,mean+1,mean_change,UpDown
2011,74403,71884.0,1.0350425685827167,592.5073428571425,27987094.178832944,114233.03746462415,591.176700404858,-1.3306424522844509,0.0
2012,72189,74403.0,0.9702431353574452,591.176700404858,4614018.600028319,18680.23724707822,921.8532775510205,330.67657714616246,1.0
2013,75457,72189.0,1.0452700549945282,921.8532775510205,68830273.95590223,280939.8936975602,964.6053032786883,42.75202572766784,1.0
2014,75799,75457.0,1.0045323826815273,964.6053032786883,133805122.29763415,548381.6487607961,1201.7404180327874,237.13511475409905,1.0
2015,75160,75799.0,0.9915698096280954,1201.7404180327874,180489769.7486161,739712.1711008861,1211.2781557377061,9.537737704918754,1.0
2016,78077,75160.0,1.0388105375199574,1211.2781557377061,223301494.5950371,915170.0598157267,1523.4700404858283,312.1918847481222,1.0
2017,81854,78077.0,1.0483753217977125,1523.4700404858283,168941504.09376448,683973.700784472,1564.3551428571438,40.8851023713155,1.0
2018,82478,81854.0,1.0076233293424879,1564.3551428571438,169135782.92128658,690350.1343725978,1311.8792946058097,-252.47584825133413,0.0
2019,81905,82478.0,0.9930526928393026,1311.8792946058097,134053571.39931068,556238.8854743182,1456.5635123966947,144.684217790885,1.0
2020,74439,81905.0,0.90884561382089,1456.5635123966947,177062074.64330956,731661.4654682215,2122.939959183674,666.3764467869794,1.0
2005,87423,91437.0,0.9561009219462581,5427.796113989639,46127339.1082764,239001.75703770173,3114.014556451613,-2313.781557538026,0.0
2006,88306,87423.0,1.0101003168502567,3114.014556451613,37186957.81166252,149947.41053089718,2561.7020816326544,-552.3124748189584,0.0
2007,83879,88306.0,0.9498675061717211,2561.7020816326544,53220409.08208863,217226.15951872914,1777.6097918367363,-784.0922897959181,0.0
2008,79518,83879.0,0.9480084407300993,1777.6097918367363,25953991.392944477,105934.65874671222,1539.7874074074082,-237.82238442932817,0.0
2009,64799,79518.0,0.8148972559672024,1539.7874074074082,13078970.46506938,53822.92372456531,1463.3984897959176,-76.38891761149057,0.0
2010,71884,64799.0,1.1093381070695536,1463.3984897959176,9028534.96214005,36851.163110775706,1467.9766938775513,4.5782040816336576,1.0
2011,74403,71884.0,1.0350425685827167,1467.9766938775513,7722205.51508691,31519.20618402823,1385.4942914979779,-82.48240237957339,0.0
2012,72189,74403.0,0.9702431353574452,1385.4942914979779,2678564.155537256,10844.389293673104,2219.291428571428,833.7971370734499,1.0
2013,75457,72189.0,1.0452700549945282,2219.291428571428,67650769.88704167,276125.5913756803,2078.6252049180343,-140.66622365339344,0.0
2014,75799,75457.0,1.0045323826815273,2078.6252049180343,4865036.515869975,19938.674245368762,1866.561803278688,-212.06340163934624,0.0
2015,75160,75799.0,0.9915698096280954,1866.561803278688,3096572.4913587472,12690.870866224372,1481.1072540983623,-385.4545491803258,0.0
2016,78077,75160.0,1.0388105375199574,1481.1072540983623,2664360.1336947493,10919.508744650613,1636.72983805668,155.6225839583176,1.0
2017,81854,78077.0,1.0483753217977125,1636.72983805668,2320311.7350720325,9393.974635919158,1588.7398775510212,-47.9899605056587,0.0
2018,82478,81854.0,1.0076233293424879,1588.7398775510212,1723768.5514752525,7035.790006021444,1119.7191120331943,-469.02076551782693,0.0
2019,81905,82478.0,0.9930526928393026,1119.7191120331943,1413450.9733291636,5864.941798046319,1209.431041322314,89.71192928911978,1.0
2020,74439,81905.0,0.90884561382089,1209.431041322314,19098014.01707634,78917.4132937039,1588.242816326529,378.81177500421495,1.0
2005,87423,91437.0,0.9561009219462581,3730.353005181348,19565867.224578008,101377.55038641457,1260.8063749999994,-2469.5466301813485,0.0
2006,88306,87423.0,1.0101003168502567,1260.8063749999994,53168862.597618,214390.57499039514,638.3392489795915,-622.4671260204079,0.0
2007,83879,88306.0,0.9498675061717211,638.3392489795915,21901565.944473352,89394.14671213608,273.7904097959185,-364.548839183673,0.0
2008,79518,83879.0,0.9480084407300993,273.7904097959185,8938893.174145008,36485.27826181635,104.67489876033063,-169.11551103558787,0.0
2009,64799,79518.0,0.8148972559672024,104.67489876033063,9977878.014098462,41230.90088470437,68.47722775510205,-36.197671005228585,0.0
2010,71884,64799.0,1.1093381070695536,68.47722775510205,7111273.745135972,29025.60712300398,185.49716612244907,117.01993836734702,1.0
2011,74403,71884.0,1.0350425685827167,185.49716612244907,116634031.48932017,476057.27138498053,152.91165587044543,-32.585510252003644,0.0
2012,72189,74403.0,0.9702431353574452,152.91165587044543,28830242.813253894,116721.63082289023,278.4354081632653,125.52375229281989,1.0
2013,75457,72189.0,1.0452700549945282,278.4354081632653,123172837.81629977,502746.27680122363,709.3783360655734,430.9429279023081,1.0
2014,75799,75457.0,1.0045323826815273,709.3783360655734,179201774.05378965,734433.5002204487,521.9627213114757,-187.41561475409776,0.0
2015,75160,75799.0,0.9915698096280954,521.9627213114757,36671300.40926627,150292.214792075,497.0045532786883,-24.95816803278734,0.0
2016,78077,75160.0,1.0388105375199574,497.0045532786883,23585084.4098525,96660.18200759223,906.5342712550607,409.5297179763724,1.0
